law_name,length,obligation,constraint,permission,entitlement,agency_obligation,agency_constraint,agency_permission,agency_entitlement,entity_obligation,entity_constraint,entity_permission,entity_entitlement
N/A,8106,23,40,41,47,0,2,0,3,35,79,70,85
public law 89-695,18453,41,39,53,179,10,8,18,56,68,70,49,300
public law 90-321,11747,36,32,65,67,11,4,10,7,40,71,48,90
public law 93-234,4925,12,21,15,23,1,0,0,1,18,53,27,45
public law 102-550,13445,49,36,28,82,6,6,5,18,81,98,49,139
N/A,14501,22,43,38,131,1,0,0,1,64,108,94,296
public law 103-204,20507,86,54,24,110,8,2,1,9,123,151,54,250
N/A,7546,10,35,14,31,8,6,7,10,9,116,40,78
public law 94-239,2931,7,14,13,16,2,4,1,2,5,37,9,24
N/A,20716,45,69,54,166,6,8,17,23,57,187,71,313
public law 98-181,3277,21,10,14,21,13,1,5,7,15,14,10,19
public law 103-328,19287,70,70,53,127,13,14,5,19,90,182,99,169
public law 107-56,57747,121,133,141,261,4,2,7,13,200,316,254,521
public law 95-630,7255,32,29,32,54,4,2,4,3,33,79,63,98
public law 108-159,26198,117,69,49,159,42,23,17,53,170,185,104,322
N/A,2606,3,12,6,12,1,0,1,0,6,38,7,18
N/A,14455,45,41,38,135,9,9,13,26,57,86,68,230
public law 94-200,2436,8,2,10,14,3,0,2,3,8,1,8,21
public law 95-369,11026,19,23,37,76,2,7,8,10,31,58,59,154
public law 106-102,62472,168,175,131,327,43,52,39,75,225,503,220,561
public law 103-325,59766,220,170,144,362,37,25,25,45,295,354,189,691
public law 111-22,30537,88,72,121,145,9,4,9,10,120,215,124,361
N/A,15894,66,46,55,166,11,6,6,19,89,81,62,206
public law 97-320,39082,68,125,149,239,13,18,32,41,84,328,223,418
public law 109-351,18676,45,25,42,76,6,2,10,15,58,67,82,105
public law 95-109,4915,3,16,9,22,0,2,2,2,7,41,8,36
public law 105-310,3480,12,2,13,20,0,0,0,4,19,2,20,41
public law 102-242,4653,22,17,14,30,7,1,4,2,21,44,14,45
public law 99-570,10203,38,21,29,57,10,0,0,17,47,31,36,124
public law 91-507,11895,49,23,38,80,8,5,4,10,82,54,56,160
public law 108-100,7852,18,17,25,55,2,1,2,1,29,75,43,116
N/A,25437,62,75,63,209,12,7,10,37,70,167,93,335
public law 96-221,32162,82,98,97,162,28,32,26,49,111,236,122,326
public law 93-495,3911,4,14,8,23,0,2,0,2,9,42,17,52
public law 100-86,50907,137,157,149,283,30,31,34,57,201,429,257,526
public law 94-240,2421,3,6,4,14,0,2,0,2,6,16,2,31
public law 107-204,29510,96,65,60,166,38,24,37,68,137,118,73,304
